Datum,Zeit,Geist,Weseler
01.10.2019,01:00,10,14
01.10.2019,02:00,8,12
01.10.2019,03:00,7,11
01.10.2019,04:00,5,12
01.10.2019,05:00,2,13
01.10.2019,06:00,-1,14
01.10.2019,07:00,0,15
01.10.2019,08:00,7,20
01.10.2019,09:00,7,18
01.10.2019,10:00,4,15
01.10.2019,11:00,0,15
01.10.2019,12:00,-1,16
01.10.2019,13:00,3,15
01.10.2019,14:00,2,13
01.10.2019,15:00,6,13
01.10.2019,16:00,6,12
01.10.2019,17:00,1,14
01.10.2019,18:00,2,12
01.10.2019,19:00,8,9
01.10.2019,20:00,5,9
01.10.2019,21:00,10,10
01.10.2019,22:00,15,14
01.10.2019,23:00,9,17
01.10.2019,24:00:00,4,13
02.10.2019,01:00,1,9
02.10.2019,02:00,3,8
02.10.2019,03:00,2,7
02.10.2019,04:00,6,8
02.10.2019,05:00,5,9
02.10.2019,06:00,7,7
02.10.2019,07:00,9,7
02.10.2019,08:00,7,9
02.10.2019,09:00,7,8
02.10.2019,10:00,9,6
02.10.2019,11:00,6,5
02.10.2019,12:00,7,7
02.10.2019,13:00,10,9
02.10.2019,14:00,7,12
02.10.2019,15:00,5,15
02.10.2019,16:00,7,13
02.10.2019,17:00,3,12
02.10.2019,18:00,5,12
02.10.2019,19:00,5,9
02.10.2019,20:00,9,6
02.10.2019,21:00,7,7
02.10.2019,22:00,11,8
02.10.2019,23:00,14,6
02.10.2019,24:00:00,10,9
03.10.2019,01:00,11,11
03.10.2019,02:00,8,12
03.10.2019,03:00,10,13
03.10.2019,04:00,12,12
03.10.2019,05:00,9,13
03.10.2019,06:00,13,14
03.10.2019,07:00,10,16
03.10.2019,08:00,10,16
03.10.2019,09:00,16,17
03.10.2019,10:00,10,18
03.10.2019,11:00,9,15
03.10.2019,12:00,6,12
03.10.2019,13:00,2,14
03.10.2019,14:00,4,15
03.10.2019,15:00,7,15
03.10.2019,16:00,4,11
03.10.2019,17:00,5,13
03.10.2019,18:00,7,15
03.10.2019,19:00,4,18
03.10.2019,20:00,8,15
03.10.2019,21:00,7,12
03.10.2019,22:00,8,9
03.10.2019,23:00,10,11
03.10.2019,24:00:00,10,14
04.10.2019,01:00,11,16
04.10.2019,02:00,14,19
04.10.2019,03:00,9,21
04.10.2019,04:00,17,20
04.10.2019,05:00,14,20
04.10.2019,06:00,13,17
04.10.2019,07:00,9,15
04.10.2019,08:00,11,13
04.10.2019,09:00,14,11
04.10.2019,10:00,10,9
04.10.2019,11:00,11,11
04.10.2019,12:00,10,11
04.10.2019,13:00,7,13
04.10.2019,14:00,4,14
04.10.2019,15:00,5,15
04.10.2019,16:00,5,18
04.10.2019,17:00,8,21
04.10.2019,18:00,9,21
04.10.2019,19:00,6,19
04.10.2019,20:00,4,15
04.10.2019,21:00,6,13
04.10.2019,22:00,6,10
04.10.2019,23:00,7,10
04.10.2019,24:00:00,5,9
05.10.2019,01:00,9,8
05.10.2019,02:00,9,8
05.10.2019,03:00,7,8
05.10.2019,04:00,8,7
05.10.2019,05:00,9,8
05.10.2019,06:00,7,10
05.10.2019,07:00,5,11
05.10.2019,08:00,10,13
05.10.2019,09:00,13,11
05.10.2019,10:00,11,10
05.10.2019,11:00,6,7
05.10.2019,12:00,8,7
05.10.2019,13:00,9,8
05.10.2019,14:00,9,9
05.10.2019,15:00,9,10
05.10.2019,16:00,6,12
05.10.2019,17:00,7,15
05.10.2019,18:00,12,16
05.10.2019,19:00,11,19
05.10.2019,20:00,16,21
05.10.2019,21:00,19,20
05.10.2019,22:00,21,20
05.10.2019,23:00,15,19
05.10.2019,24:00:00,20,17
06.10.2019,01:00,11,17
06.10.2019,02:00,19,15
06.10.2019,03:00,14,14
06.10.2019,04:00,11,12
06.10.2019,05:00,13,10
06.10.2019,06:00,10,9
06.10.2019,07:00,7,9
06.10.2019,08:00,7,7
06.10.2019,09:00,9,7
06.10.2019,10:00,5,9
06.10.2019,11:00,6,7
06.10.2019,12:00,7,9
06.10.2019,13:00,8,9
06.10.2019,14:00,6,9
06.10.2019,15:00,8,9
06.10.2019,16:00,7,11
06.10.2019,17:00,5,13
06.10.2019,18:00,9,14
06.10.2019,19:00,7,13
06.10.2019,20:00,4,14
06.10.2019,21:00,6,15
06.10.2019,22:00,6,10
06.10.2019,23:00,6,8
06.10.2019,24:00:00,8,10
07.10.2019,01:00,9,9
07.10.2019,02:00,12,9
07.10.2019,03:00,11,10
07.10.2019,04:00,11,11
07.10.2019,05:00,10,9
07.10.2019,06:00,15,9
07.10.2019,07:00,13,8
07.10.2019,08:00,16,9
07.10.2019,09:00,16,11
07.10.2019,10:00,9,11
07.10.2019,11:00,10,9
07.10.2019,12:00,7,8
07.10.2019,13:00,7,9
07.10.2019,14:00,11,11
07.10.2019,15:00,10,12
07.10.2019,16:00,9,13
07.10.2019,17:00,9,16
07.10.2019,18:00,9,17
07.10.2019,19:00,8,14
07.10.2019,20:00,9,13
07.10.2019,21:00,7,13
07.10.2019,22:00,8,13
07.10.2019,23:00,9,12
07.10.2019,24:00:00,11,14
08.10.2019,01:00,10,17
08.10.2019,02:00,9,18
08.10.2019,03:00,9,18
08.10.2019,04:00,7,19
08.10.2019,05:00,7,18
08.10.2019,06:00,5,16
08.10.2019,07:00,3,15
08.10.2019,08:00,2,15
08.10.2019,09:00,5,14
08.10.2019,10:00,15
08.10.2019,11:00,3,14
08.10.2019,12:00,6,17
08.10.2019,13:00,6,18
08.10.2019,14:00,8,18
08.10.2019,15:00,16,20
08.10.2019,16:00,18,21
08.10.2019,17:00,14,23
08.10.2019,18:00,15,23
08.10.2019,19:00,21,24
08.10.2019,20:00,26,27
08.10.2019,21:00,18,28
08.10.2019,22:00,20,24
08.10.2019,23:00,13,20
08.10.2019,24:00:00,15,18
09.10.2019,01:00,23,18
09.10.2019,02:00,19,20
09.10.2019,03:00,20,21
09.10.2019,04:00,20,20
