time_since_power_on,time,pm25,pm10,AirTC_Avg,RH_Avg,Pressure
4126,"14:00:42.126",3,9.2,17.6,55.19,100232.02
4329,"14:00:42.329",3,9.2,17.63,55.19,100232.34
4521,"14:00:42.521",3,9.2,17.63,55.19,100230.68
4715,"14:00:42.715",3,9.2,17.63,55.29,100230.53
4907,"14:00:42.907",3,9.2,17.64,55.29,100228.92
5100,"14:00:43.100",2.9,8.4,17.6,55.29,100230.55
5292,"14:00:43.292",2.9,8.4,17.63,55.29,100232.97
5486,"14:00:43.486",2.9,8.4,17.63,55.39,100230.06
5677,"14:00:43.677",2.9,8.4,17.63,55.39,100230.5
5887,"14:00:43.887",2.9,8.4,17.6,55.39,100230.34
6077,"14:00:44.077",2.9,8.4,17.6,55.39,100227.61
6268,"14:00:44.268",2.5,6.9,17.6,55.49,100230.81
6458,"14:00:44.458",2.5,6.9,17.6,55.49,100231.64
6648,"14:00:44.648",2.5,6.9,17.63,55.49,100233.23
6838,"14:00:44.838",2.5,6.9,17.6,55.59,100226.13
7029,"14:00:45.029",2.5,6.9,17.59,55.59,100226.45
7219,"14:00:45.219",2.9,7.6,17.6,55.59,100230.52
7409,"14:00:45.409",2.9,7.6,17.59,55.69,100225.33
7600,"14:00:45.600",2.9,7.6,17.59,55.69,100227.28
7790,"14:00:45.790",2.9,7.6,17.59,55.69,100228.72
7980,"14:00:45.980",2.9,7.6,17.59,55.79,100229.54
8179,"14:00:46.179",4.1,7.6,17.57,55.79,100231.47
8373,"14:00:46.373",4.1,7.6,17.59,55.79,100227.75
8570,"14:00:46.570",4.1,7.6,17.59,55.9,100227.59
8759,"14:00:46.759",4.1,7.6,17.57,55.9,100228.72
8951,"14:00:46.951",4.1,7.6,17.57,55.9,100230.66
9140,"14:00:47.140",4.2,7.3,17.57,55.9,100229.05
9331,"14:00:47.331",4.2,7.3,17.57,55.99,100228.73
9521,"14:00:47.521",4.2,7.3,17.56,55.99,100228.25
9712,"14:00:47.712",4.2,7.3,17.57,55.99,100227.44
9901,"14:00:47.901",4.2,7.3,17.56,55.99,100227.44
10093,"14:00:48.093",4.2,7.3,17.59,55.99,100227.91
10282,"14:00:48.282",3.9,6.6,17.56,56.02,100229.2
10474,"14:00:48.474",3.9,6.6,17.56,55.99,100231.46
10663,"14:00:48.663",3.9,6.6,17.56,55.99,100228.39
10854,"14:00:48.854",3.9,6.6,17.54,56.02,100227.91
11050,"14:00:49.050",3.9,6.6,17.54,56.02,100226.95
11240,"14:00:49.240",3.7,6,17.54,56.02,100227.75
11431,"14:00:49.431",3.7,6,17.54,56.02,100229.7
11621,"14:00:49.621",3.7,6,17.54,56.12,100226.45
11811,"14:00:49.811",3.7,6,17.54,56.12,100228.25
12002,"14:00:50.002",3.7,6,17.52,56.12,100228.55
12192,"14:00:50.192",3.6,5.6,17.54,56.12,100227.58
12383,"14:00:50.383",3.6,5.6,17.52,56.12,100230.34
12573,"14:00:50.573",3.6,5.6,17.52,56.12,100225.52
12763,"14:00:50.763",3.6,5.6,17.52,56.23,100226.78
12954,"14:00:50.954",3.6,5.6,17.52,56.23,100228.71
13144,"14:00:51.144",3.5,5.4,17.52,56.23,100227.91
13335,"14:00:51.335",3.5,5.4,17.52,56.32,100227.59
13531,"14:00:51.531",3.5,5.4,17.49,56.32,100226.62
13722,"14:00:51.722",3.5,5.4,17.51,56.32,100227.75
13911,"14:00:51.911",3.5,5.4,17.52,56.43,100226.45
14103,"14:00:52.103",3.5,5.6,17.52,56.43,100223.9
14292,"14:00:52.292",3.5,5.6,17.49,56.43,100225.67
14483,"14:00:52.483",3.5,5.6,17.49,56.52,100226.64
14673,"14:00:52.673",3.5,5.6,17.51,56.52,100230.33
14864,"14:00:52.864",3.5,5.6,17.48,56.63,100229.38
15054,"14:00:53.054",3.5,5.6,17.51,56.63,100227.12
15245,"14:00:53.245",3.4,6.2,17.49,56.63,100230.33
15435,"14:00:53.435",3.4,6.2,17.49,56.63,100224.06
15626,"14:00:53.626",3.4,6.2,17.49,56.63,100228.41
15816,"14:00:53.816",3.4,6.2,17.49,56.73,100229.84
16007,"14:00:54.007",3.4,6.2,17.48,56.73,100229.55
16203,"14:00:54.203",3.4,6,17.46,56.73,100226.8
16393,"14:00:54.393",3.4,6,17.48,56.73,100230.2
16584,"14:00:54.584",3.4,6,17.48,56.73,100231.33
16774,"14:00:54.774",3.4,6,17.48,56.73,100227.96
16964,"14:00:54.964",3.4,6,17.46,56.73,100225.36
17155,"14:00:55.155",3.5,8.2,17.46,56.73,100229.39
17345,"14:00:55.345",3.5,8.2,17.45,56.73,100228.09
17536,"14:00:55.536",3.5,8.2,17.46,56.73,100230.22
17726,"14:00:55.726",3.5,8.2,17.45,56.73,100229.39
17916,"14:00:55.916",3.5,8.2,17.45,56.73,100229.73
18107,"14:00:56.107",3.5,7.9,17.45,56.73,100230.39
18297,"14:00:56.297",3.5,7.9,17.44,56.73,100230.34
18488,"14:00:56.488",3.5,7.9,17.44,56.63,100228.42
18683,"14:00:56.683",3.5,7.9,17.45,56.63,100228.91
18875,"14:00:56.875",3.5,7.9,17.44,56.63,100225.7
19064,"14:00:57.064",3.5,7.9,17.44,56.63,100228.12
19256,"14:00:57.256",3.5,7.8,17.44,56.63,100229.39
19445,"14:00:57.445",3.5,7.8,17.42,56.63,100231.16
19637,"14:00:57.637",3.5,7.8,17.44,56.52,100230.02
19826,"14:00:57.826",3.5,7.8,17.42,56.52,100228.93
20018,"14:00:58.018",3.5,7.8,17.42,56.52,100231.97
20207,"14:00:58.207",3.6,8.6,17.42,56.43,100230.84
20398,"14:00:58.398",3.6,8.6,17.42,56.43,100224.73
20588,"14:00:58.588",3.6,8.6,17.42,56.43,100229.05
20779,"14:00:58.779",3.6,8.6,17.41,56.43,100226.67
20969,"14:00:58.969",3.6,8.6,17.39,56.32,100226.3
21165,"14:00:59.165",3.5,9.1,17.39,56.32,100225.81
21356,"14:00:59.356",3.5,9.1,17.41,56.32,100225.84
21546,"14:00:59.546",3.5,9.1,17.39,56.23,100226.8
21737,"14:00:59.737",3.5,9.1,17.39,56.23,100224.53
21927,"14:00:59.927",3.5,9.1,17.41,56.23,100225.33
22118,"14:01:00.118",3.5,8.8,17.39,56.23,100228.91
22308,"14:01:00.308",3.5,8.8,17.39,56.12,100227.8
22498,"14:01:00.498",3.5,8.8,17.38,56.12,100227.31
22689,"14:01:00.689",3.5,8.8,17.39,56.02,100225.02
22879,"14:01:00.879",3.5,8.8,17.38,56.02,100231
23069,"14:01:01.069",3.5,8.8,17.38,56.02,100225.02
23260,"14:01:01.260",3.5,9.1,17.38,55.92,100227.45
23450,"14:01:01.450",3.5,9.1,17.36,55.92,100228.42
23647,"14:01:01.647",3.5,9.1,17.36,55.92,100229.55
23837,"14:01:01.837",3.5,9.1,17.38,55.92,100229.7
24028,"14:01:02.028",3.5,9.1,17.38,55.92,100229.39
24218,"14:01:02.218",3.5,8.9,17.36,55.82,100227.92
24409,"14:01:02.409",3.5,8.9,17.34,55.82,100230.48
24598,"14:01:02.598",3.5,8.9,17.34,55.82,100225.5
24790,"14:01:02.790",3.5,8.9,17.36,55.82,100226.48
24979,"14:01:02.979",3.5,8.9,17.34,55.72,100227.29
25171,"14:01:03.171",3.5,9.3,17.34,55.72,100229.88
25360,"14:01:03.360",3.5,9.3,17.33,55.72,100225.17
25551,"14:01:03.551",3.5,9.3,17.33,55.72,100227.77
25741,"14:01:03.741",3.5,9.3,17.33,55.72,100228.28
25932,"14:01:03.932",3.5,9.3,17.33,55.74,100230.5
26128,"14:01:04.128",3.5,10.4,17.33,55.74,100229.55
26318,"14:01:04.318",3.5,10.4,17.33,55.65,100228.74
26509,"14:01:04.509",3.5,10.4,17.33,55.65,100228.08
26700,"14:01:04.700",3.5,10.4,17.31,55.62,100231.31
26890,"14:01:04.890",3.5,10.4,17.3,55.65,100229.88
27081,"14:01:05.081",3.5,10.4,17.31,55.65,100227.48
27270,"14:01:05.270",3.5,10.3,17.31,55.65,100226.16
27465,"14:01:05.465",3.5,10.3,17.31,55.65,100225.52
27655,"14:01:05.655",3.5,10.3,17.3,55.65,100226.03
27845,"14:01:05.845",3.5,10.3,17.29,55.65,100226.64
28035,"14:01:06.035",3.5,10.3,17.29,55.65,100226.47
28226,"14:01:06.226",3.6,10.4,17.3,55.65,100225.82
