"id","time","record","lat","lon","AirTC_Avg","RH_Avg","pm25","pm10"
1423,"2019-12-19 14:30:12",64163,51.9609925,7.61461366666667,13.73,66.7,8.983,16.341
1424,"2019-12-19 14:30:13",64164,51.9609483333333,7.61461,13.73,66.67,11.272,45.049
1425,"2019-12-19 14:30:14",64165,51.9609041666667,7.61460466666667,13.73,66.64,8.897,19.417
1426,"2019-12-19 14:30:15",64166,51.960859,7.61459883333333,13.73,66.64,6.591,29.888
1427,"2019-12-19 14:30:16",64167,51.96081,7.61458516666667,13.72,66.65,8.802,17.76
1428,"2019-12-19 14:30:17",64168,51.9607681666667,7.61457483333333,13.73,66.62,9.327,43.676
1429,"2019-12-19 14:30:18",64169,51.9607286666667,7.61457183333333,13.71,66.62,11.492,23.692
1430,"2019-12-19 14:30:19",64170,51.960687,7.6145745,13.7,66.56,8.622,23.3
1431,"2019-12-19 14:30:20",64171,51.9606428333333,7.61457716666667,13.74,66.58,7.505,27.775
1432,"2019-12-19 14:30:21",64172,51.960599,7.614591,13.74,66.53,12.777,28.796
1433,"2019-12-19 14:30:22",64173,51.9605585,7.61461766666667,13.74,66.52,8.603,17.561
1434,"2019-12-19 14:30:23",64174,51.9605133333333,7.6146505,13.72,66.54,10.398,33.123
1435,"2019-12-19 14:30:24",64175,51.9604711666667,7.61468283333333,13.75,66.53,9.746,40.362
1436,"2019-12-19 14:30:25",64176,51.9604291666667,7.61471816666667,13.71,66.45,10.501,23.395
1437,"2019-12-19 14:30:26",64177,51.9603858333333,7.61475083333333,13.74,66.51,8.399,18.838
1438,"2019-12-19 14:30:27",64178,51.9603473333333,7.61478583333333,13.73,66.54,12.993,30.913
1439,"2019-12-19 14:30:28",64179,51.9603058333333,7.61482483333333,13.75,66.57,10.267,15.945
1440,"2019-12-19 14:30:29",64180,51.960263,7.614863,13.75,66.63,10.138,26.231
1441,"2019-12-19 14:30:30",64181,51.9602208333333,7.6149,13.75,66.63,9.485,26.643
1442,"2019-12-19 14:30:31",64182,51.9601778333333,7.61494233333333,13.75,66.67,10.04,38.004
1443,"2019-12-19 14:30:32",64183,51.9601361666667,7.61497833333333,13.75,66.66,8.368,19.607
1444,"2019-12-19 14:30:33",64184,51.9600945,7.61501716666667,13.75,66.65,9.39,19.191
1445,"2019-12-19 14:30:34",64185,51.9600548333333,7.615058,13.75,66.62,9.322,39.311
1446,"2019-12-19 14:30:35",64186,51.9600201666667,7.61509916666667,13.76,66.57,11.481,24.296
1447,"2019-12-19 14:30:36",64187,51.9599808333333,7.61513866666667,13.76,66.57,11.19,30.79
1448,"2019-12-19 14:30:37",64188,51.9599395,7.6151765,13.77,66.6,7.814,44.79
1449,"2019-12-19 14:30:38",64189,51.9599006666667,7.6152165,13.78,66.62,9.101,19.54
1450,"2019-12-19 14:30:39",64190,51.9598561666667,7.61525716666667,13.78,66.63,10.607,57.21
1451,"2019-12-19 14:30:40",64191,51.9598148333333,7.6152955,13.77,66.67,7.49,26.479
1452,"2019-12-19 14:30:41",64192,51.9597733333333,7.61532833333333,13.78,66.67,11.107,26.592
1453,"2019-12-19 14:30:42",64193,51.9597318333333,7.6153675,13.76,66.69,10.403,26.416
1454,"2019-12-19 14:30:43",64194,51.9596956666667,7.61540133333333,13.76,66.74,7.738,15.778
1455,"2019-12-19 14:30:44",64195,51.9596546666667,7.61544316666667,13.77,66.8,8.317,36.399
1456,"2019-12-19 14:30:45",64196,51.9596126666667,7.61548533333333,13.81,66.83,11.27,33.275
1457,"2019-12-19 14:30:46",64197,51.9595675,7.61553283333333,13.81,66.84,8.137,45.311
