date,time,pm10_Geist,pm10_Weseler
14.11.2019,00:00,9,20
14.11.2019,01:00,13,18
14.11.2019,02:00,9,16
14.11.2019,03:00,11,14
14.11.2019,04:00,7,11
14.11.2019,05:00,3,10
14.11.2019,06:00,14,11
14.11.2019,07:00,14,11
14.11.2019,08:00,21,11
14.11.2019,09:00,15,11
14.11.2019,10:00,20,12
14.11.2019,11:00,12,11
14.11.2019,12:00,11,10
14.11.2019,13:00,12,11
14.11.2019,14:00,9,12
14.11.2019,15:00,9,13
14.11.2019,16:00,21,14
14.11.2019,17:00,15,15
14.11.2019,18:00,13,15
14.11.2019,19:00,13,15
14.11.2019,20:00,13,16
14.11.2019,21:00,15,17
14.11.2019,22:00,14,18
14.11.2019,23:00,13,20
