date,time,pm10_Geist,pm10_Weseler
19.12.2019,00:00,15,18,
19.12.2019,01:00,15,17,
19.12.2019,02:00,16,17,
19.12.2019,03:00,16,17,
19.12.2019,04:00,16,18,
19.12.2019,05:00,17,18,
19.12.2019,06:00,17,19,
19.12.2019,07:00,17,19,
19.12.2019,08:00,18,20,
19.12.2019,09:00,18,20,
19.12.2019,10:00,19,21,
19.12.2019,11:00,19,21,
19.12.2019,12:00,20,22,
19.12.2019,13:00,20,23,
19.12.2019,14:00,21,24,
19.12.2019,15:00,22,24,
19.12.2019,16:00,22,25,
19.12.2019,17:00,22,25,
19.12.2019,18:00,22,26,
19.12.2019,19:00,22,26,
19.12.2019,20:00,22,27,
19.12.2019,21:00,23,27,
19.12.2019,22:00,23,27,
19.12.2019,23:00,22,28,
