"TIMESTAMP","RECORD","CPC_aux_Avg","LiveBin_1dM_Avg","LiveBin_16dM_Avg","Ts_Avg","Pressure_kPa_Avg","BattV_Min","PTemp_C"
"1",2019-12-10 15:47:00,1072,NA,0.4819666,0.7765,5.707,NA,NA,21.04
"2",2019-12-10 15:48:00,1073,NA,0.4986333,0,5.61,NA,NA,20.81
"3",2019-12-10 15:49:00,1074,NA,0.5133666,0,5.996,NA,NA,20.58
"4",2019-12-10 15:50:00,1075,NA,0.5037667,1.553,5.485,NA,NA,14.03
"5",2019-12-10 15:51:00,1076,27245.7,0.4569,0,5.351,85.8,12.04,14.17
"6",2019-12-10 15:52:00,1077,NA,0.4748333,0,5.426,NA,NA,14.36
"7",2019-12-10 15:53:00,1078,17842.85,0.4433333,0,5.222,86.1,12.13,14.44
"8",2019-12-10 15:54:00,1079,18824.74,0.4296333,0,5.102,84.3,12.15,14.55
"9",2019-12-10 15:55:00,1080,NA,0.4554333,0,5.162,83.7,12.21,14.6
"10",2019-12-10 15:56:00,1081,20935.12,0.4424666,0,5.158,83.5,12.15,14.65
"11",2019-12-10 15:57:00,1082,NA,0.4633667,1.553,5.455,83.4,12.18,14.71
"12",2019-12-10 15:58:00,1083,NA,0.4744,0,5.268,NA,NA,14.75
"13",2019-12-10 15:59:00,1084,NA,0.4281667,0,4.999,85.5,12.18,14.77
"14",2019-12-10 16:00:00,1085,14175.46,0.4383,0,4.966,84,12.19,14.8
"15",2019-12-10 16:01:00,1086,11613.43,0.3751,0,6.199,83.6,12.17,14.83
"16",2019-12-10 16:02:00,1087,4836.843,0.2081333,9.318132,10.64,83.4,12.18,14.85
"17",2019-12-10 16:03:00,1088,5442.534,0.2272667,15.5302,10.31,83.4,12.18,14.87
"18",2019-12-10 16:04:00,1089,6786.524,0.2807,20.18917,9.92,83.4,12.17,14.89
"19",2019-12-10 16:05:00,1090,3776.009,NA,NA,10.05,83.4,12.19,14.9
"20",2019-12-19 09:08:00,1091,-732.0045,0,0,13.11,81.6,12.91,11.67
"21",2019-12-19 09:09:00,1092,-726.5495,NA,NA,13.11,82.6,12.5,11.67
"22",2019-12-19 09:10:00,1093,-719.3292,NA,NA,13.11,83.1,12.46,11.69
"23",2019-12-19 09:11:00,1094,-733.6422,NA,NA,13.12,83.3,12.4,11.71
"24",2019-12-19 09:12:00,1095,-613.1859,NA,NA,13.13,83.4,12.39,11.74
"25",2019-12-19 09:13:00,1096,-666.7734,NA,NA,13.13,83.4,12.36,11.78
"26",2019-12-19 09:14:00,1097,-706.151,NA,NA,13.13,83.4,12.39,11.82
"27",2019-12-19 09:15:00,1098,-669.5768,NA,NA,13.14,83.4,12.41,11.86
"28",2019-12-19 09:16:00,1099,-386.6372,0,0,13.2,83.4,12.38,11.91
"29",2019-12-19 09:17:00,1100,-375.2357,0,0,13.19,83.4,12.39,11.97
"30",2019-12-19 09:18:00,1101,-371.985,0,0,13.26,83.4,12.37,12.02
"31",2019-12-19 09:19:00,1102,-395.007,NA,NA,13.34,83.4,12.4,12.08
"32",2019-12-19 09:20:00,1103,-435.8161,NA,NA,13.35,83.4,12.7,12.15
"33",2019-12-19 09:21:00,1104,-409.5975,0,0,13.43,83.4,12.63,12.2
"34",2019-12-19 09:22:00,1105,-431.0769,0,0,13.4,83.4,12.64,12.24
"35",2019-12-19 09:23:00,1106,-415.876,0,0,13.25,83.4,12.71,12.28
"36",2019-12-19 09:24:00,1107,-418.9587,0,0,13.25,83.4,12.64,12.31
"37",2019-12-19 09:25:00,1108,-424.0794,0,0,13.24,83.4,12.65,12.33
"38",2019-12-19 09:26:00,1109,-424.1879,0,0,13.27,83.4,12.65,12.35
"39",2019-12-19 09:27:00,1110,-420.8257,0,0,13.24,83.4,12.72,12.37
"40",2019-12-19 09:28:00,1111,-417.4105,0,0,13.3,83.4,12.64,12.39
"41",2019-12-19 09:29:00,1112,-432.8304,0,0,13.3,83.4,12.69,12.41
"42",2019-12-19 09:30:00,1113,-424.4046,0,0,13.22,83.4,12.66,12.43
"43",2019-12-19 09:31:00,1114,-416.7477,0,0,13.26,83.4,12.74,12.44
"44",2019-12-19 13:38:00,1115,-607.0698,0,0,14.02,81.7,12.2,13.41
"45",2019-12-19 13:39:00,1116,-418.6068,0,0,14.25,82.8,12.4,13.42
"46",2019-12-19 13:40:00,1117,-396.1347,0,0,13.93,83.2,12.37,13.45
"47",2019-12-19 13:41:00,1118,-391.2308,0,0,13.85,83.3,12.34,13.5
