"TIMESTAMP","RECORD","no_use","Curr_Sec_InSet","Curr_Sec_Sample","Valid_Sample_RMLogBins","LiveBin_1dC","LiveBin_2dC","LiveBin_3dC","LiveBin_4dC","LiveBin_5dC","LiveBin_6dC","LiveBin_7dC","LiveBin_8dC","LiveBin_9dC","LiveBin_10dC","LiveBin_11dC","LiveBin_12dC","LiveBin_13dC","LiveBin_14dC","LiveBin_15dC","LiveBin_16dC","LiveGreaterBin_16dC","LiveBin_1dN","LiveBin_2dN","LiveBin_3dN","LiveBin_4dN","LiveBin_5dN","LiveBin_6dN","LiveBin_7dN","LiveBin_8dN","LiveBin_9dN","LiveBin_10dN","LiveBin_11dN","LiveBin_12dN","LiveBin_13dN","LiveBin_14dN","LiveBin_15dN","LiveBin_16dN","LiveGreaterBin_16dN","LiveBin_1dNdD","LiveBin_2dNdD","LiveBin_3dNdD","LiveBin_4dNdD","LiveBin_5dNdD","LiveBin_6dNdD","LiveBin_7dNdD","LiveBin_8dNdD","LiveBin_9dNdD","LiveBin_10dNdD","LiveBin_11dNdD","LiveBin_12dNdD","LiveBin_13dNdD","LiveBin_14dNdD","LiveBin_15dNdD","LiveBin_16dNdD","LiveGreaterBin_16dNdD","LiveBin_1dNdlogD","LiveBin_2dNdlogD","LiveBin_3dNdlogD","LiveBin_4dNdlogD","LiveBin_5dNdlogD","LiveBin_6dNdlogD","LiveBin_7dNdlogD","LiveBin_8dNdlogD","LiveBin_9dNdlogD","LiveBin_10dNdlogD","LiveBin_11dNdlogD","LiveBin_12dNdlogD","LiveBin_13dNdlogD","LiveBin_14dNdlogD","LiveBin_15dNdlogD","LiveBin_16dNdlogD","LiveGreaterBin_16dNdlogD","LiveBin_1dM","LiveBin_2dM","LiveBin_3dM","LiveBin_4dM","LiveBin_5dM","LiveBin_6dM","LiveBin_7dM","LiveBin_8dM","LiveBin_9dM","LiveBin_10dM","LiveBin_11dM","LiveBin_12dM","LiveBin_13dM","LiveBin_14dM","LiveBin_15dM","LiveBin_16dM","LiveGreaterBin_16dM","LiveBin_1dMdD","LiveBin_2dMdD","LiveBin_3dMdD","LiveBin_4dMdD","LiveBin_5dMdD","LiveBin_6dMdD","LiveBin_7dMdD","LiveBin_8dMdD","LiveBin_9dMdD","LiveBin_10dMdD","LiveBin_11dMdD","LiveBin_12dMdD","LiveBin_13dMdD","LiveBin_14dMdD","LiveBin_15dMdD","LiveBin_16dMdD","LiveGreaterBin_16dMdD","LiveBin_1dMdlogD","LiveBin_2dMdlogD","LiveBin_3dMdlogD","LiveBin_4dMdlogD","LiveBin_5dMdlogD","LiveBin_6dMdlogD","LiveBin_7dMdlogD","LiveBin_8dMdlogD","LiveBin_9dMdlogD","LiveBin_10dMdlogD","LiveBin_11dMdlogD","LiveBin_12dMdlogD","LiveBin_13dMdlogD"
"1",2019-11-14 14:19:27,35181,NA,816,0,1,382,75,16,5,3,4,1,3,3,1,4,1,1,0,0,0,0,22.92,4.5,0.96,0.3,0.18,0.24,0.06,0.18,0.18,0.06,0.24,0.06,0.06,0,0,0,0,309.73,49.451,9.143,2.5,1.636,1.2,0.2,0.45,0.514,0.133,0.285,0.073,0.059,0,0,0,0,239.372,47.578,10.857,3.616,2.802,2.477,0.527,1.545,2.214,0.696,1.902,0.63,0.63,0,0,0,0,0.465,0.176,0.07,0.04,0.039,0.093,0.049,0.324,0.627,0.374,3.199,1.68,3.242,0,0,0,0,6.282,1.934,0.67,0.33,0.356,0.464,0.162,0.809,1.79,0.83,3.794,2.051,3.178,0,0,0,0,4.855,1.861,0.796,0.478,0.61,0.957,0.426,2.779,7.708,4.334,25.347,17.651,34.056
"2",2019-11-14 14:19:28,35182,NA,817,0,1,385,76,16,8,4,2,3,1,1,0,0,1,0,0,1,0,0,23.1,4.56,0.96,0.48,0.24,0.12,0.18,0.06,0.06,0,0,0.06,0,0,0.06,0,0,312.162,50.11,9.143,4,2.182,0.6,0.6,0.15,0.171,0,0,0.073,0,0,0.038,0,0,241.252,48.212,10.857,5.785,3.736,1.238,1.58,0.515,0.738,0,0,0.63,0,0,0.631,0,0,0.468,0.178,0.07,0.063,0.052,0.046,0.146,0.108,0.209,0,0,1.68,0,0,12.069,0,0,6.331,1.96,0.67,0.528,0.475,0.232,0.486,0.27,0.597,0,0,2.051,0,0,7.639,0,0,4.893,1.886,0.796,0.764,0.813,0.478,1.279,0.926,2.569,0,0,17.651,0
"3",2019-11-14 14:19:29,35183,NA,818,0,1,385,85,22,5,2,3,0,2,2,3,0,1,0,1,0,0,0,23.1,5.1,1.32,0.3,0.12,0.18,0,0.12,0.12,0.18,0,0.06,0,0.06,0,0,0,312.162,56.044,12.571,2.5,1.091,0.9,0,0.3,0.343,0.4,0,0.073,0,0.047,0,0,0,241.252,53.922,14.928,3.616,1.868,1.857,0,1.03,1.476,2.089,0,0.63,0,0.631,0,0,0,0.468,0.199,0.097,0.04,0.026,0.07,0,0.216,0.418,1.121,0,1.68,0,6.256,0,0,0,6.331,2.192,0.922,0.33,0.237,0.348,0,0.54,1.194,2.49,0,2.051,0,4.93,0,0,0,4.893,2.109,1.094,0.478,0.407,0.718,0,1.853,5.138,13.002,0,17.651,0
"4",2019-11-14 14:19:30,35184,NA,819,0,1,398,64,20,5,5,1,2,1,5,2,0,0,1,0,0,0,0,23.88,3.84,1.2,0.3,0.3,0.06,0.12,0.06,0.3,0.12,0,0,0.06,0,0,0,0,322.703,42.198,11.429,2.5,2.727,0.3,0.4,0.15,0.857,0.267,0,0,0.059,0,0,0,0,249.399,40.6,13.571,3.616,4.67,0.619,1.053,0.515,3.69,1.392,0,0,0.63,0,0,0,0,0.484,0.15,0.088,0.04,0.065,0.023,0.097,0.108,1.044,0.747,0,0,3.242,0,0,0,0,6.545,1.65,0.838,0.33,0.594,0.116,0.324,0.27,2.984,1.66,0,0,3.178,0,0,0,0,5.058,1.588,0.995,0.478,1.017,0.239,0.853,0.926,12.846,8.668,0,0,34.056
"5",2019-11-14 14:19:31,35185,NA,820,0,1,393,71,16,7,3,6,2,1,3,1,2,0,1,0,1,1,0,23.58,4.26,0.96,0.42,0.18,0.36,0.12,0.06,0.18,0.06,0.12,0,0.06,0,0.06,0.06,0,318.649,46.813,9.143,3.5,1.636,1.8,0.4,0.15,0.514,0.133,0.142,0,0.059,0,0.038,0.03,0,246.265,45.041,10.857,5.062,2.802,3.715,1.053,0.515,2.214,0.696,0.951,0,0.63,0,0.631,0.63,0,0.478,0.167,0.07,0.055,0.039,0.139,0.097,0.108,0.627,0.374,1.599,0,3.242,0,12.069,23.295,0,6.463,1.831,0.67,0.462,0.356,0.696,0.324,0.27,1.79,0.83,1.897,0,3.178,0,7.639,11.831,0,4.995,1.761,0.796,0.669,0.61,1.435,0.853,0.926,7.708,4.334,12.674,0,34.056
"6",2019-11-14 14:19:32,35186,NA,821,0,1,383,78,15,14,6,5,2,2,2,0,1,0,0,0,0,0,1,22.98,4.68,0.9,0.84,0.36,0.3,0.12,0.12,0.12,0,0.06,0,0,0,0,0,0,310.541,51.429,8.571,7,3.273,1.5,0.4,0.3,0.343,0,0.071,0,0,0,0,0,0,239.999,49.481,10.178,10.124,5.604,3.096,1.053,1.03,1.476,0,0.475,0,0,0,0,0,0,0.466,0.183,0.066,0.111,0.078,0.116,0.097,0.216,0.418,0,0.8,0,0,0,0,0,0,6.298,2.011,0.628,0.925,0.712,0.58,0.324,0.54,1.194,0,0.949,0,0,0,0,0,0,4.867,1.935,0.746,1.337,1.22,1.196,0.853,1.853,5.138,0,6.337,0,0
"7",2019-11-14 14:19:33,35187,NA,822,0,1,406,79,18,6,6,6,0,1,2,1,2,0,0,0,0,0,0,24.36,4.74,1.08,0.36,0.36,0.36,0,0.06,0.12,0.06,0.12,0,0,0,0,0,0,329.189,52.088,10.286,3,3.273,1.8,0,0.15,0.343,0.133,0.142,0,0,0,0,0,0,254.412,50.116,12.214,4.339,5.604,3.715,0,0.515,1.476,0.696,0.951,0,0,0,0,0,0,0.494,0.185,0.079,0.048,0.078,0.139,0,0.108,0.418,0.374,1.599,0,0,0,0,0,0,6.676,2.037,0.754,0.396,0.712,0.696,0,0.27,1.194,0.83,1.897,0,0,0,0,0,0,5.16,1.96,0.895,0.573,1.22,1.435,0,0.926,5.138,4.334,12.674,0,0
"8",2019-11-14 14:19:34,35188,NA,823,0,1,413,78,19,7,2,8,2,1,3,0,1,0,2,0,0,0,0,24.78,4.68,1.14,0.42,0.12,0.48,0.12,0.06,0.18,0,0.06,0,0.12,0,0,0,0,334.865,51.429,10.857,3.5,1.091,2.4,0.4,0.15,0.514,0,0.071,0,0.118,0,0,0,0,258.798,49.481,12.893,5.062,1.868,4.953,1.053,0.515,2.214,0,0.475,0,1.261,0,0,0,0,0.503,0.183,0.084,0.055,0.026,0.185,0.097,0.108,0.627,0,0.8,0,6.484,0,0,0,0,6.791,2.011,0.796,0.462,0.237,0.927,0.324,0.27,1.79,0,0.949,0,6.357,0,0,0,0,5.249,1.935,0.945,0.669,0.407,1.914,0.853,0.926,7.708,0,6.337,0,68.111
"9",2019-11-14 14:19:35,35189,NA,824,0,1,403,82,19,3,5,3,2,1,5,1,1,2,0,0,1,0,0,24.18,4.92,1.14,0.18,0.3,0.18,0.12,0.06,0.3,0.06,0.06,0.12,0,0,0.06,0,0,326.757,54.066,10.857,1.5,2.727,0.9,0.4,0.15,0.857,0.133,0.071,0.147,0,0,0.038,0,0,252.532,52.019,12.893,2.169,4.67,1.857,1.053,0.515,3.69,0.696,0.475,1.261,0,0,0.631,0,0,0.49,0.192,0.084,0.024,0.065,0.07,0.097,0.108,1.044,0.374,0.8,3.36,0,0,12.069,0,0,6.627,2.114,0.796,0.198,0.594,0.348,0.324,0.27,2.984,0.83,0.949,4.102,0,0,7.639,0,0,5.122,2.034,0.945,0.287,1.017,0.718,0.853,0.926,12.846,4.334,6.337,35.302,0
"10",2019-11-14 14:19:36,35190,NA,825,0,1,403,86,18,6,2,6,1,3,1,1,1,0,0,0,0,1,0,24.18,5.16,1.08,0.36,0.12,0.36,0.06,0.18,0.06,0.06,0.06,0,0,0,0,0.06,0,326.757,56.703,10.286,3,1.091,1.8,0.2,0.45,0.171,0.133,0.071,0,0,0,0,0.03,0,252.532,54.556,12.214,4.339,1.868,3.715,0.527,1.545,0.738,0.696,0.475,0,0,0,0,0.63,0,0.49,0.202,0.079,0.048,0.026,0.139,0.049,0.324,0.209,0.374,0.8,0,0,0,0,23.295,0,6.627,2.218,0.754,0.396,0.237,0.696,0.162,0.809,0.597,0.83,0.949,0,0,0,0,11.831,0,5.122,2.134,0.895,0.573,0.407,1.435,0.426,2.779,2.569,4.334,6.337,0,0
